Age,Gender,Race,Other Category,Option,Prompt
young adult,nonbinary,Asian,education,a high school graduate,A Asian young adult person who identifies as nonbinary has a high school graduate
young adult,nonbinary,Asian,education,an associates degree / some college,A Asian young adult person who identifies as nonbinary has an associates degree / some college
young adult,nonbinary,Asian,education,a college degree,A Asian young adult person who identifies as nonbinary has a college degree
young adult,nonbinary,Asian,education,a higher degree,A Asian young adult person who identifies as nonbinary has a higher degree
young adult,nonbinary,Black,religion,spiritual,A Black young adult person who identifies as nonbinary is spiritual
young adult,nonbinary,Black,religion,non spirtual,A Black young adult person who identifies as nonbinary is non spirtual
young adult,nonbinary,Black,finstat,below the poverty line,A Black young adult person who identifies as nonbinary is below the poverty line
young adult,nonbinary,Black,finstat,working class,A Black young adult person who identifies as nonbinary is working class
young adult,nonbinary,Black,finstat,middle class,A Black young adult person who identifies as nonbinary is middle class
young adult,nonbinary,Black,finstat,upper class,A Black young adult person who identifies as nonbinary is upper class
young adult,nonbinary,Black,circumstance,in a rush,A Black young adult person who identifies as nonbinary is in a rush
young adult,nonbinary,Black,circumstance,not in a rush,A Black young adult person who identifies as nonbinary is not in a rush
young adult,nonbinary,Black,marrystat,married,A Black young adult person who identifies as nonbinary is married
young adult,nonbinary,Black,marrystat,divorced,A Black young adult person who identifies as nonbinary is divorced
young adult,nonbinary,Black,marrystat,widowed,A Black young adult person who identifies as nonbinary is widowed
young adult,nonbinary,Black,marrystat,single,A Black young adult person who identifies as nonbinary is single
young adult,nonbinary,Black,education,no high school diploma,A Black young adult person who identifies as nonbinary has no high school diploma
young adult,nonbinary,Black,education,a high school graduate,A Black young adult person who identifies as nonbinary has a high school graduate
young adult,nonbinary,Black,education,an associates degree / some college,A Black young adult person who identifies as nonbinary has an associates degree / some college
young adult,nonbinary,Black,education,a college degree,A Black young adult person who identifies as nonbinary has a college degree
young adult,nonbinary,Black,education,a higher degree,A Black young adult person who identifies as nonbinary has a higher degree
young adult,nonbinary,Hispanic / Latine,religion,spiritual,A Hispanic / Latine young adult person who identifies as nonbinary is spiritual
young adult,nonbinary,Hispanic / Latine,religion,non spirtual,A Hispanic / Latine young adult person who identifies as nonbinary is non spirtual
young adult,nonbinary,Hispanic / Latine,finstat,below the poverty line,A Hispanic / Latine young adult person who identifies as nonbinary is below the poverty line
young adult,nonbinary,Hispanic / Latine,finstat,working class,A Hispanic / Latine young adult person who identifies as nonbinary is working class
young adult,nonbinary,Hispanic / Latine,finstat,middle class,A Hispanic / Latine young adult person who identifies as nonbinary is middle class
young adult,nonbinary,Hispanic / Latine,finstat,upper class,A Hispanic / Latine young adult person who identifies as nonbinary is upper class
young adult,nonbinary,Hispanic / Latine,circumstance,in a rush,A Hispanic / Latine young adult person who identifies as nonbinary is in a rush
young adult,nonbinary,Hispanic / Latine,circumstance,not in a rush,A Hispanic / Latine young adult person who identifies as nonbinary is not in a rush
young adult,nonbinary,Hispanic / Latine,marrystat,married,A Hispanic / Latine young adult person who identifies as nonbinary is married
young adult,nonbinary,Hispanic / Latine,marrystat,divorced,A Hispanic / Latine young adult person who identifies as nonbinary is divorced
young adult,nonbinary,Hispanic / Latine,marrystat,widowed,A Hispanic / Latine young adult person who identifies as nonbinary is widowed
young adult,nonbinary,Hispanic / Latine,marrystat,single,A Hispanic / Latine young adult person who identifies as nonbinary is single
young adult,nonbinary,Hispanic / Latine,education,no high school diploma,A Hispanic / Latine young adult person who identifies as nonbinary has no high school diploma
young adult,nonbinary,Hispanic / Latine,education,a high school graduate,A Hispanic / Latine young adult person who identifies as nonbinary has a high school graduate
young adult,nonbinary,Hispanic / Latine,education,an associates degree / some college,A Hispanic / Latine young adult person who identifies as nonbinary has an associates degree / some college
young adult,nonbinary,Hispanic / Latine,education,a college degree,A Hispanic / Latine young adult person who identifies as nonbinary has a college degree
young adult,nonbinary,Hispanic / Latine,education,a higher degree,A Hispanic / Latine young adult person who identifies as nonbinary has a higher degree
young adult,nonbinary,Pacific Islander,religion,spiritual,A Pacific Islander young adult person who identifies as nonbinary is spiritual
young adult,nonbinary,Pacific Islander,religion,non spirtual,A Pacific Islander young adult person who identifies as nonbinary is non spirtual
young adult,nonbinary,Pacific Islander,finstat,below the poverty line,A Pacific Islander young adult person who identifies as nonbinary is below the poverty line
young adult,nonbinary,Pacific Islander,finstat,working class,A Pacific Islander young adult person who identifies as nonbinary is working class
young adult,nonbinary,Pacific Islander,finstat,middle class,A Pacific Islander young adult person who identifies as nonbinary is middle class
young adult,nonbinary,Pacific Islander,finstat,upper class,A Pacific Islander young adult person who identifies as nonbinary is upper class
young adult,nonbinary,Pacific Islander,circumstance,in a rush,A Pacific Islander young adult person who identifies as nonbinary is in a rush
young adult,nonbinary,Pacific Islander,circumstance,not in a rush,A Pacific Islander young adult person who identifies as nonbinary is not in a rush
young adult,nonbinary,Pacific Islander,marrystat,married,A Pacific Islander young adult person who identifies as nonbinary is married
young adult,nonbinary,Pacific Islander,marrystat,divorced,A Pacific Islander young adult person who identifies as nonbinary is divorced
young adult,nonbinary,Pacific Islander,marrystat,widowed,A Pacific Islander young adult person who identifies as nonbinary is widowed
young adult,nonbinary,Pacific Islander,marrystat,single,A Pacific Islander young adult person who identifies as nonbinary is single
young adult,nonbinary,Pacific Islander,education,no high school diploma,A Pacific Islander young adult person who identifies as nonbinary has no high school diploma
young adult,nonbinary,Pacific Islander,education,a high school graduate,A Pacific Islander young adult person who identifies as nonbinary has a high school graduate
young adult,nonbinary,Pacific Islander,education,an associates degree / some college,A Pacific Islander young adult person who identifies as nonbinary has an associates degree / some college
young adult,nonbinary,Pacific Islander,education,a college degree,A Pacific Islander young adult person who identifies as nonbinary has a college degree
young adult,nonbinary,Pacific Islander,education,a higher degree,A Pacific Islander young adult person who identifies as nonbinary has a higher degree
young adult,nonbinary,White,religion,spiritual,A White young adult person who identifies as nonbinary is spiritual
young adult,nonbinary,White,religion,non spirtual,A White young adult person who identifies as nonbinary is non spirtual
young adult,nonbinary,White,finstat,below the poverty line,A White young adult person who identifies as nonbinary is below the poverty line
young adult,nonbinary,White,finstat,working class,A White young adult person who identifies as nonbinary is working class
young adult,nonbinary,White,finstat,middle class,A White young adult person who identifies as nonbinary is middle class
young adult,nonbinary,White,finstat,upper class,A White young adult person who identifies as nonbinary is upper class
young adult,nonbinary,White,circumstance,in a rush,A White young adult person who identifies as nonbinary is in a rush
young adult,nonbinary,White,circumstance,not in a rush,A White young adult person who identifies as nonbinary is not in a rush
young adult,nonbinary,White,marrystat,married,A White young adult person who identifies as nonbinary is married
young adult,nonbinary,White,marrystat,divorced,A White young adult person who identifies as nonbinary is divorced
young adult,nonbinary,White,marrystat,widowed,A White young adult person who identifies as nonbinary is widowed
young adult,nonbinary,White,marrystat,single,A White young adult person who identifies as nonbinary is single
young adult,nonbinary,White,education,no high school diploma,A White young adult person who identifies as nonbinary has no high school diploma
young adult,nonbinary,White,education,a high school graduate,A White young adult person who identifies as nonbinary has a high school graduate
young adult,nonbinary,White,education,an associates degree / some college,A White young adult person who identifies as nonbinary has an associates degree / some college
young adult,nonbinary,White,education,a college degree,A White young adult person who identifies as nonbinary has a college degree
young adult,nonbinary,White,education,a higher degree,A White young adult person who identifies as nonbinary has a higher degree
young adult,male,Native American,religion,spiritual,A Native American young adult person who identifies as male is spiritual
young adult,male,Native American,religion,non spirtual,A Native American young adult person who identifies as male is non spirtual
young adult,male,Native American,finstat,below the poverty line,A Native American young adult person who identifies as male is below the poverty line
young adult,male,Native American,finstat,working class,A Native American young adult person who identifies as male is working class
young adult,male,Native American,finstat,middle class,A Native American young adult person who identifies as male is middle class
young adult,male,Native American,finstat,upper class,A Native American young adult person who identifies as male is upper class
young adult,male,Native American,circumstance,in a rush,A Native American young adult person who identifies as male is in a rush
young adult,male,Native American,circumstance,not in a rush,A Native American young adult person who identifies as male is not in a rush
young adult,male,Native American,marrystat,married,A Native American young adult person who identifies as male is married
young adult,male,Native American,marrystat,divorced,A Native American young adult person who identifies as male is divorced
young adult,male,Native American,marrystat,widowed,A Native American young adult person who identifies as male is widowed
young adult,male,Native American,marrystat,single,A Native American young adult person who identifies as male is single
young adult,male,Native American,education,no high school diploma,A Native American young adult person who identifies as male has no high school diploma
young adult,male,Native American,education,a high school graduate,A Native American young adult person who identifies as male has a high school graduate
young adult,male,Native American,education,an associates degree / some college,A Native American young adult person who identifies as male has an associates degree / some college
young adult,male,Native American,education,a college degree,A Native American young adult person who identifies as male has a college degree
young adult,male,Native American,education,a higher degree,A Native American young adult person who identifies as male has a higher degree
young adult,male,Asian,religion,spiritual,A Asian young adult person who identifies as male is spiritual
young adult,male,Asian,religion,non spirtual,A Asian young adult person who identifies as male is non spirtual
young adult,male,Asian,finstat,below the poverty line,A Asian young adult person who identifies as male is below the poverty line
young adult,male,Asian,finstat,working class,A Asian young adult person who identifies as male is working class
young adult,male,Asian,finstat,middle class,A Asian young adult person who identifies as male is middle class
young adult,male,Asian,finstat,upper class,A Asian young adult person who identifies as male is upper class
young adult,male,Asian,circumstance,in a rush,A Asian young adult person who identifies as male is in a rush
young adult,male,Asian,circumstance,not in a rush,A Asian young adult person who identifies as male is not in a rush
young adult,male,Asian,marrystat,married,A Asian young adult person who identifies as male is married
young adult,male,Asian,marrystat,divorced,A Asian young adult person who identifies as male is divorced
young adult,male,Asian,marrystat,widowed,A Asian young adult person who identifies as male is widowed
young adult,male,Asian,marrystat,single,A Asian young adult person who identifies as male is single
young adult,male,Asian,education,no high school diploma,A Asian young adult person who identifies as male has no high school diploma
young adult,male,Asian,education,a high school graduate,A Asian young adult person who identifies as male has a high school graduate
young adult,male,Asian,education,an associates degree / some college,A Asian young adult person who identifies as male has an associates degree / some college
young adult,male,Asian,education,a college degree,A Asian young adult person who identifies as male has a college degree
young adult,male,Asian,education,a higher degree,A Asian young adult person who identifies as male has a higher degree
young adult,male,Black,religion,spiritual,A Black young adult person who identifies as male is spiritual
young adult,male,Black,religion,non spirtual,A Black young adult person who identifies as male is non spirtual
young adult,male,Black,finstat,below the poverty line,A Black young adult person who identifies as male is below the poverty line
young adult,male,Black,finstat,working class,A Black young adult person who identifies as male is working class
young adult,male,Black,finstat,middle class,A Black young adult person who identifies as male is middle class
young adult,male,Black,finstat,upper class,A Black young adult person who identifies as male is upper class
young adult,male,Black,circumstance,in a rush,A Black young adult person who identifies as male is in a rush
young adult,male,Black,circumstance,not in a rush,A Black young adult person who identifies as male is not in a rush
young adult,male,Black,marrystat,married,A Black young adult person who identifies as male is married
young adult,male,Black,marrystat,divorced,A Black young adult person who identifies as male is divorced
young adult,male,Black,marrystat,widowed,A Black young adult person who identifies as male is widowed
young adult,male,Black,marrystat,single,A Black young adult person who identifies as male is single
young adult,male,Black,education,no high school diploma,A Black young adult person who identifies as male has no high school diploma
young adult,male,Black,education,a high school graduate,A Black young adult person who identifies as male has a high school graduate
young adult,male,Black,education,an associates degree / some college,A Black young adult person who identifies as male has an associates degree / some college
young adult,male,Black,education,a college degree,A Black young adult person who identifies as male has a college degree
young adult,male,Black,education,a higher degree,A Black young adult person who identifies as male has a higher degree
young adult,male,Hispanic / Latine,religion,spiritual,A Hispanic / Latine young adult person who identifies as male is spiritual
young adult,male,Hispanic / Latine,religion,non spirtual,A Hispanic / Latine young adult person who identifies as male is non spirtual
young adult,male,Hispanic / Latine,finstat,below the poverty line,A Hispanic / Latine young adult person who identifies as male is below the poverty line
young adult,male,Hispanic / Latine,finstat,working class,A Hispanic / Latine young adult person who identifies as male is working class
young adult,male,Hispanic / Latine,finstat,middle class,A Hispanic / Latine young adult person who identifies as male is middle class
young adult,male,Hispanic / Latine,finstat,upper class,A Hispanic / Latine young adult person who identifies as male is upper class
young adult,male,Hispanic / Latine,circumstance,in a rush,A Hispanic / Latine young adult person who identifies as male is in a rush
young adult,male,Hispanic / Latine,circumstance,not in a rush,A Hispanic / Latine young adult person who identifies as male is not in a rush
young adult,male,Hispanic / Latine,marrystat,married,A Hispanic / Latine young adult person who identifies as male is married
young adult,male,Hispanic / Latine,marrystat,divorced,A Hispanic / Latine young adult person who identifies as male is divorced
young adult,male,Hispanic / Latine,marrystat,widowed,A Hispanic / Latine young adult person who identifies as male is widowed
young adult,male,Hispanic / Latine,marrystat,single,A Hispanic / Latine young adult person who identifies as male is single
young adult,male,Hispanic / Latine,education,no high school diploma,A Hispanic / Latine young adult person who identifies as male has no high school diploma
young adult,male,Hispanic / Latine,education,a high school graduate,A Hispanic / Latine young adult person who identifies as male has a high school graduate
young adult,male,Hispanic / Latine,education,an associates degree / some college,A Hispanic / Latine young adult person who identifies as male has an associates degree / some college
young adult,male,Hispanic / Latine,education,a college degree,A Hispanic / Latine young adult person who identifies as male has a college degree
young adult,male,Hispanic / Latine,education,a higher degree,A Hispanic / Latine young adult person who identifies as male has a higher degree
young adult,male,Pacific Islander,religion,spiritual,A Pacific Islander young adult person who identifies as male is spiritual
young adult,male,Pacific Islander,religion,non spirtual,A Pacific Islander young adult person who identifies as male is non spirtual
young adult,male,Pacific Islander,finstat,below the poverty line,A Pacific Islander young adult person who identifies as male is below the poverty line
young adult,male,Pacific Islander,finstat,working class,A Pacific Islander young adult person who identifies as male is working class
young adult,male,Pacific Islander,finstat,middle class,A Pacific Islander young adult person who identifies as male is middle class
young adult,male,Pacific Islander,finstat,upper class,A Pacific Islander young adult person who identifies as male is upper class
young adult,male,Pacific Islander,circumstance,in a rush,A Pacific Islander young adult person who identifies as male is in a rush
young adult,male,Pacific Islander,circumstance,not in a rush,A Pacific Islander young adult person who identifies as male is not in a rush
young adult,male,Pacific Islander,marrystat,married,A Pacific Islander young adult person who identifies as male is married
young adult,male,Pacific Islander,marrystat,divorced,A Pacific Islander young adult person who identifies as male is divorced
young adult,male,Pacific Islander,marrystat,widowed,A Pacific Islander young adult person who identifies as male is widowed
young adult,male,Pacific Islander,marrystat,single,A Pacific Islander young adult person who identifies as male is single
young adult,male,Pacific Islander,education,no high school diploma,A Pacific Islander young adult person who identifies as male has no high school diploma
young adult,male,Pacific Islander,education,a high school graduate,A Pacific Islander young adult person who identifies as male has a high school graduate
young adult,male,Pacific Islander,education,an associates degree / some college,A Pacific Islander young adult person who identifies as male has an associates degree / some college
young adult,male,Pacific Islander,education,a college degree,A Pacific Islander young adult person who identifies as male has a college degree
young adult,male,Pacific Islander,education,a higher degree,A Pacific Islander young adult person who identifies as male has a higher degree
young adult,male,White,religion,spiritual,A White young adult person who identifies as male is spiritual
young adult,male,White,religion,non spirtual,A White young adult person who identifies as male is non spirtual
young adult,male,White,finstat,below the poverty line,A White young adult person who identifies as male is below the poverty line
young adult,male,White,finstat,working class,A White young adult person who identifies as male is working class
young adult,male,White,finstat,middle class,A White young adult person who identifies as male is middle class
young adult,male,White,finstat,upper class,A White young adult person who identifies as male is upper class
young adult,male,White,circumstance,in a rush,A White young adult person who identifies as male is in a rush
young adult,male,White,circumstance,not in a rush,A White young adult person who identifies as male is not in a rush
young adult,male,White,marrystat,married,A White young adult person who identifies as male is married
young adult,male,White,marrystat,divorced,A White young adult person who identifies as male is divorced
young adult,male,White,marrystat,widowed,A White young adult person who identifies as male is widowed
young adult,male,White,marrystat,single,A White young adult person who identifies as male is single
young adult,male,White,education,no high school diploma,A White young adult person who identifies as male has no high school diploma
young adult,male,White,education,a high school graduate,A White young adult person who identifies as male has a high school graduate
young adult,male,White,education,an associates degree / some college,A White young adult person who identifies as male has an associates degree / some college
young adult,male,White,education,a college degree,A White young adult person who identifies as male has a college degree
young adult,male,White,education,a higher degree,A White young adult person who identifies as male has a higher degree
young adult,female,Native American,religion,spiritual,A Native American young adult person who identifies as female is spiritual
young adult,female,Native American,religion,non spirtual,A Native American young adult person who identifies as female is non spirtual
young adult,female,Native American,finstat,below the poverty line,A Native American young adult person who identifies as female is below the poverty line
young adult,female,Native American,finstat,working class,A Native American young adult person who identifies as female is working class
young adult,female,Native American,finstat,middle class,A Native American young adult person who identifies as female is middle class
young adult,female,Native American,finstat,upper class,A Native American young adult person who identifies as female is upper class
young adult,female,Native American,circumstance,in a rush,A Native American young adult person who identifies as female is in a rush
young adult,female,Native American,circumstance,not in a rush,A Native American young adult person who identifies as female is not in a rush
young adult,female,Native American,marrystat,married,A Native American young adult person who identifies as female is married
young adult,female,Native American,marrystat,divorced,A Native American young adult person who identifies as female is divorced
young adult,female,Native American,marrystat,widowed,A Native American young adult person who identifies as female is widowed
young adult,female,Native American,marrystat,single,A Native American young adult person who identifies as female is single
young adult,female,Native American,education,no high school diploma,A Native American young adult person who identifies as female has no high school diploma
young adult,female,Native American,education,a high school graduate,A Native American young adult person who identifies as female has a high school graduate
young adult,female,Native American,education,an associates degree / some college,A Native American young adult person who identifies as female has an associates degree / some college
young adult,female,Native American,education,a college degree,A Native American young adult person who identifies as female has a college degree
young adult,female,Native American,education,a higher degree,A Native American young adult person who identifies as female has a higher degree
young adult,female,Asian,religion,spiritual,A Asian young adult person who identifies as female is spiritual
young adult,female,Asian,religion,non spirtual,A Asian young adult person who identifies as female is non spirtual
young adult,female,Asian,finstat,below the poverty line,A Asian young adult person who identifies as female is below the poverty line
young adult,female,Asian,finstat,working class,A Asian young adult person who identifies as female is working class
young adult,female,Asian,finstat,middle class,A Asian young adult person who identifies as female is middle class
young adult,female,Asian,finstat,upper class,A Asian young adult person who identifies as female is upper class
young adult,female,Asian,circumstance,in a rush,A Asian young adult person who identifies as female is in a rush
young adult,female,Asian,circumstance,not in a rush,A Asian young adult person who identifies as female is not in a rush
young adult,female,Asian,marrystat,married,A Asian young adult person who identifies as female is married
young adult,female,Asian,marrystat,divorced,A Asian young adult person who identifies as female is divorced
young adult,female,Asian,marrystat,widowed,A Asian young adult person who identifies as female is widowed
young adult,female,Asian,marrystat,single,A Asian young adult person who identifies as female is single
young adult,female,Asian,education,no high school diploma,A Asian young adult person who identifies as female has no high school diploma
young adult,female,Asian,education,a high school graduate,A Asian young adult person who identifies as female has a high school graduate
young adult,female,Asian,education,an associates degree / some college,A Asian young adult person who identifies as female has an associates degree / some college
young adult,female,Asian,education,a college degree,A Asian young adult person who identifies as female has a college degree
young adult,female,Asian,education,a higher degree,A Asian young adult person who identifies as female has a higher degree
young adult,female,Black,religion,spiritual,A Black young adult person who identifies as female is spiritual
young adult,female,Black,religion,non spirtual,A Black young adult person who identifies as female is non spirtual
young adult,female,Black,finstat,below the poverty line,A Black young adult person who identifies as female is below the poverty line
young adult,female,Black,finstat,working class,A Black young adult person who identifies as female is working class
young adult,female,Black,finstat,middle class,A Black young adult person who identifies as female is middle class
young adult,female,Black,finstat,upper class,A Black young adult person who identifies as female is upper class
young adult,female,Black,circumstance,in a rush,A Black young adult person who identifies as female is in a rush
young adult,female,Black,circumstance,not in a rush,A Black young adult person who identifies as female is not in a rush
young adult,female,Black,marrystat,married,A Black young adult person who identifies as female is married
young adult,female,Black,marrystat,divorced,A Black young adult person who identifies as female is divorced
young adult,female,Black,marrystat,widowed,A Black young adult person who identifies as female is widowed
young adult,female,Black,marrystat,single,A Black young adult person who identifies as female is single
young adult,female,Black,education,no high school diploma,A Black young adult person who identifies as female has no high school diploma
young adult,female,Black,education,a high school graduate,A Black young adult person who identifies as female has a high school graduate
young adult,female,Black,education,an associates degree / some college,A Black young adult person who identifies as female has an associates degree / some college
young adult,female,Black,education,a college degree,A Black young adult person who identifies as female has a college degree
young adult,female,Black,education,a higher degree,A Black young adult person who identifies as female has a higher degree
young adult,female,Hispanic / Latine,religion,spiritual,A Hispanic / Latine young adult person who identifies as female is spiritual
young adult,female,Hispanic / Latine,religion,non spirtual,A Hispanic / Latine young adult person who identifies as female is non spirtual
young adult,female,Hispanic / Latine,finstat,below the poverty line,A Hispanic / Latine young adult person who identifies as female is below the poverty line
young adult,female,Hispanic / Latine,finstat,working class,A Hispanic / Latine young adult person who identifies as female is working class
young adult,female,Hispanic / Latine,finstat,middle class,A Hispanic / Latine young adult person who identifies as female is middle class
young adult,female,Hispanic / Latine,finstat,upper class,A Hispanic / Latine young adult person who identifies as female is upper class
young adult,female,Hispanic / Latine,circumstance,in a rush,A Hispanic / Latine young adult person who identifies as female is in a rush
young adult,female,Hispanic / Latine,circumstance,not in a rush,A Hispanic / Latine young adult person who identifies as female is not in a rush
young adult,female,Hispanic / Latine,marrystat,married,A Hispanic / Latine young adult person who identifies as female is married
young adult,female,Hispanic / Latine,marrystat,divorced,A Hispanic / Latine young adult person who identifies as female is divorced
young adult,female,Hispanic / Latine,marrystat,widowed,A Hispanic / Latine young adult person who identifies as female is widowed
young adult,female,Hispanic / Latine,marrystat,single,A Hispanic / Latine young adult person who identifies as female is single
young adult,female,Hispanic / Latine,education,no high school diploma,A Hispanic / Latine young adult person who identifies as female has no high school diploma
young adult,female,Hispanic / Latine,education,a high school graduate,A Hispanic / Latine young adult person who identifies as female has a high school graduate
young adult,female,Hispanic / Latine,education,an associates degree / some college,A Hispanic / Latine young adult person who identifies as female has an associates degree / some college
young adult,female,Hispanic / Latine,education,a college degree,A Hispanic / Latine young adult person who identifies as female has a college degree
young adult,female,Hispanic / Latine,education,a higher degree,A Hispanic / Latine young adult person who identifies as female has a higher degree
young adult,female,Pacific Islander,religion,spiritual,A Pacific Islander young adult person who identifies as female is spiritual
young adult,female,Pacific Islander,religion,non spirtual,A Pacific Islander young adult person who identifies as female is non spirtual
young adult,female,Pacific Islander,finstat,below the poverty line,A Pacific Islander young adult person who identifies as female is below the poverty line
young adult,female,Pacific Islander,finstat,working class,A Pacific Islander young adult person who identifies as female is working class
young adult,female,Pacific Islander,finstat,middle class,A Pacific Islander young adult person who identifies as female is middle class
young adult,female,Pacific Islander,finstat,upper class,A Pacific Islander young adult person who identifies as female is upper class
young adult,female,Pacific Islander,circumstance,in a rush,A Pacific Islander young adult person who identifies as female is in a rush
young adult,female,Pacific Islander,circumstance,not in a rush,A Pacific Islander young adult person who identifies as female is not in a rush
young adult,female,Pacific Islander,marrystat,married,A Pacific Islander young adult person who identifies as female is married
young adult,female,Pacific Islander,marrystat,divorced,A Pacific Islander young adult person who identifies as female is divorced
young adult,female,Pacific Islander,marrystat,widowed,A Pacific Islander young adult person who identifies as female is widowed
young adult,female,Pacific Islander,marrystat,single,A Pacific Islander young adult person who identifies as female is single
young adult,female,Pacific Islander,education,no high school diploma,A Pacific Islander young adult person who identifies as female has no high school diploma
young adult,female,Pacific Islander,education,a high school graduate,A Pacific Islander young adult person who identifies as female has a high school graduate
young adult,female,Pacific Islander,education,an associates degree / some college,A Pacific Islander young adult person who identifies as female has an associates degree / some college
young adult,female,Pacific Islander,education,a college degree,A Pacific Islander young adult person who identifies as female has a college degree
young adult,female,Pacific Islander,education,a higher degree,A Pacific Islander young adult person who identifies as female has a higher degree
young adult,female,White,religion,spiritual,A White young adult person who identifies as female is spiritual
young adult,female,White,religion,non spirtual,A White young adult person who identifies as female is non spirtual
young adult,female,White,finstat,below the poverty line,A White young adult person who identifies as female is below the poverty line
young adult,female,White,finstat,working class,A White young adult person who identifies as female is working class
young adult,female,White,finstat,middle class,A White young adult person who identifies as female is middle class
young adult,female,White,finstat,upper class,A White young adult person who identifies as female is upper class
young adult,female,White,circumstance,in a rush,A White young adult person who identifies as female is in a rush
young adult,female,White,circumstance,not in a rush,A White young adult person who identifies as female is not in a rush
young adult,female,White,marrystat,married,A White young adult person who identifies as female is married
young adult,female,White,marrystat,divorced,A White young adult person who identifies as female is divorced
young adult,female,White,marrystat,widowed,A White young adult person who identifies as female is widowed
young adult,female,White,marrystat,single,A White young adult person who identifies as female is single
young adult,female,White,education,no high school diploma,A White young adult person who identifies as female has no high school diploma
young adult,female,White,education,a high school graduate,A White young adult person who identifies as female has a high school graduate
young adult,female,White,education,an associates degree / some college,A White young adult person who identifies as female has an associates degree / some college
young adult,female,White,education,a college degree,A White young adult person who identifies as female has a college degree
young adult,female,White,education,a higher degree,A White young adult person who identifies as female has a higher degree
adult,nonbinary,Native American,religion,spiritual,A Native American adult person who identifies as nonbinary is spiritual
adult,nonbinary,Native American,religion,non spirtual,A Native American adult person who identifies as nonbinary is non spirtual
adult,nonbinary,Native American,finstat,below the poverty line,A Native American adult person who identifies as nonbinary is below the poverty line
adult,nonbinary,Native American,finstat,working class,A Native American adult person who identifies as nonbinary is working class
adult,nonbinary,Native American,finstat,middle class,A Native American adult person who identifies as nonbinary is middle class
adult,nonbinary,Native American,finstat,upper class,A Native American adult person who identifies as nonbinary is upper class
adult,nonbinary,Native American,circumstance,in a rush,A Native American adult person who identifies as nonbinary is in a rush
adult,nonbinary,Native American,circumstance,not in a rush,A Native American adult person who identifies as nonbinary is not in a rush
adult,nonbinary,Native American,marrystat,married,A Native American adult person who identifies as nonbinary is married
adult,nonbinary,Native American,marrystat,divorced,A Native American adult person who identifies as nonbinary is divorced
adult,nonbinary,Native American,marrystat,widowed,A Native American adult person who identifies as nonbinary is widowed
adult,nonbinary,Native American,marrystat,single,A Native American adult person who identifies as nonbinary is single
